사업장명	EF_code	변압기명	전압	ONAN_val	ONAF_val	operation_start_time	dga_diag_time	dga_h2	dga_c2h2	dga_c2h4	dga_c2h6	dga_ch4	dga_c3h8	dga_co	dga_co2	dga_o2	dga_n2	dga_fluc	load_percent	coil_max_temp	dielec_str_te_1	dielec_str_te_2	dielec_str_te_3	dielec_str_te_4	dielec_str_te_5	dielec_str_te_6	acid_measure_val	moisture_rslt	furan_diag_time	furan_5H2F	furan_2FOL	furan_2FAL	furan_2ACF	furan_5M2F	part_discharge_diag	oltc_96T_diag	oltc_rslt	oltc_type	thermal_img_temp	noise_diag	fire_vul_type	fire_spread_loc	emerge_response_1s	redundancy	ato	online_og_chk	offline_safety_chk	sec_num	alarm_num	insul_1st_lvup	high_insul_adt	double_insul	55k_install	sfra_test	rip_install	vacuum_set
K1	EF1	BANK53	22900	80	43.75	2024-06-09	2020-06-01	0	0	79	394	76	1	521	1731	23794	56271	-17	47.9	55	35.7	39.1	41.1	38.6	30.4	42.5	0.02	17.5	2020-06-01	0	0	18	0	0	양호	이상	9000	Vaccum	이상	정상	유입	옥외	가능	N+1	적용	미적용	미적용	4	5	적용	적용	적용	적용	적용	적용	적용
K1	EF1	TR49	22900	30	30	2020-06-12	2020-06-01	0	0	59	288	65	7	465	677	26882	56376	-17	92.0	52	34.4	39.0	46.2	52.3	30.8	57.3	0.03	18.8	2020-06-01	0	0	18	0	0	양호	이상	13000	Oil	이상	이상	몰드	옥외	불가	N+1	적용	적용	미적용	4	5	적용	적용	적용	적용	적용	적용	적용
H1	EF1	BANK54	확인필요	35	37.5	2015-11-22	2020-06-01	0	0	88	0	15	20	268	1590	28863	77918	60	98.0	41	31.7	41.5	47.0	36.1	59.0	51.5	0.03	28.3	2020-06-01	0	0	20	0	0	이상	이상	0	Oil	이상	이상	유입	옥외	가능	N+N	적용	미적용	미적용	4	5	적용	적용	미적용	적용	미적용	적용	적용
H1	EF1	BANK55	22900	80	37.5	2023-10-19	2020-06-01	0	0	84	288	29	42	610	2868	14818	73885	-1	71.9	57	36.7	33.5	44.3	40.2	34.2	52.9	0.02	22.5	2020-06-01	0	0	5	0	0	양호	이상	13000	Vaccum	이상	정상	유입	옥외	가능	N+0	적용	적용	미적용	4	5	적용	적용	적용	적용	적용	적용	적용
K1	EF1	BANK56	22900	80	43.75	2019-02-09	2020-06-01	0	0	29	0	22	10	388	1737	28733	65152	30	98.8	56	52.4	52.7	35.3	50.7	55.2	37.3	0.02	18.6	2020-06-01	0	0	14	0	0	이상	이상	6000	Oil	이상	이상	유입	옥내	불가	N+1	적용	적용	적용	4	5	적용	적용	미적용	적용	미적용	적용	적용
P1	EF1	TR50	22900	80	37.5	2019-01-01	2020-06-01	0	0	24	0	5	52	453	1540	18531	71838	30	33.8	48	53.6	56.4	37.6	35.7	46.8	57.7	0.03	26.0	2020-06-01	0	0	20	0	0	이상	이상	18000	Vaccum	이상	이상	유입	옥내	불가	N+N	적용	적용	적용	4	5	적용	적용	적용	미적용	미적용	미적용	적용
H2	EF1	TR51	154000	30	30	2022-08-02	2020-06-01	0	0	77	0	10	18	288	1350	23017	97202	60	45.6	60	56.5	52.9	34.1	53.8	31.5	57.4	0.02	15.6	2020-06-01	0	0	11	0	0	이상	정상	13000	Vaccum	정상	이상	몰드	옥내	불가	N+1	미적용	적용	미적용	4	5	적용	적용	적용	적용	미적용	적용	적용
H2	EF1	BANK57	154000	35	30	2017-11-08	2020-06-01	0	0	81	0	69	89	376	2211	13164	52764	-17	19.2	51	41.5	57.7	45.8	53.4	39.4	46.6	0.03	30.1	2020-06-01	0	0	6	0	0	이상	이상	0	Vaccum	이상	정상	몰드	옥내	가능	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	미적용
K1	EF1	TR52	154000	35	43.75	2024-08-22	2020-06-01	0	0	39	288	32	56	616	1354	15592	57616	60	36.9	40	46.9	31.4	60.0	32.7	55.9	41.5	0.02	24.4	2020-06-01	0	0	13	0	0	양호	정상	18000	Oil	이상	정상	유입	옥내	가능	N+N	미적용	미적용	미적용	4	5	미적용	적용	적용	적용	미적용	적용	적용
H1	EF1	BANK58	154000	30	100	2016-02-15	2020-06-01	0	0	16	0	77	70	524	2464	21200	57696	60	31.4	59	48.5	53.4	59.7	56.3	40.7	52.6	0.03	31.1	2020-06-01	0	0	16	0	0	이상	이상	6000	Oil	정상	이상	몰드	옥외	가능	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	미적용	적용	적용
P1	EF1	BANK59	22900	35	43.75	2019-06-08	2020-06-01	0	0	33	394	6	78	378	1216	21625	30529	30	85.9	46	33.8	48.6	32.6	53.5	39.6	33.5	0.02	33.2	2020-06-01	0	0	20	0	0	양호	정상	13000	Vaccum	정상	정상	몰드	옥외	불가	N+1	미적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용
K1	EF1	TR53	154000	25	37.5	2018-05-10	2020-06-01	0	0	84	288	47	61	323	2907	9224	78888	-17	76.1	46	32.5	36.3	36.2	40.4	49.0	43.3	0.03	19.2	2020-06-01	0	0	17	0	0	양호	정상	0	Oil	정상	이상	유입	옥내	불가	N+0	적용	적용	적용	4	5	미적용	미적용	적용	미적용	적용	적용	미적용
P1	EF1	TR54	22900	80	100	2016-07-14	2020-06-01	0	0	15	288	15	61	491	2105	29172	66215	-1	20.7	54	45.7	47.1	37.0	34.6	39.0	30.8	0.03	27.5	2020-06-01	0	0	2	0	0	양호	정상	13000	Oil	이상	이상	유입	옥외	불가	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	적용	미적용	미적용
H1	EF1	TR55	154000	35	100	2018-09-18	2020-06-01	0	0	64	288	21	19	385	2885	16408	68852	60	45.2	45	56.6	51.0	56.4	34.4	59.7	58.4	0.03	29.1	2020-06-01	0	0	5	0	0	양호	이상	18000	Vaccum	이상	정상	몰드	옥내	가능	N+0	적용	적용	적용	4	5	적용	적용	적용	적용	적용	미적용	적용
H2	EF1	TR56	22900	35	37.5	2022-10-31	2020-06-01	0	0	5	394	100	30	384	1311	23374	69463	30	19.0	41	55.6	32.8	46.0	56.0	54.0	38.7	0.02	22.2	2020-06-01	0	0	10	0	0	양호	정상	0	Oil	이상	정상	유입	옥내	가능	N+1	적용	적용	미적용	4	5	미적용	적용	적용	적용	적용	적용	적용
