factory_code	EF_code	transformer_name	voltage	ONAN_val	ONAF_val	operation_start_time	dga_diag_time	dga_h2	dga_c2h2	dga_c2h4	dga_c2h6	dga_ch4	dga_c3h8	dga_co	dga_co2	dga_o2	dga_n2	dga_fluc	load_percent	coil_max_temp	dielec_str_te_1	dielec_str_te_2	dielec_str_te_3	dielec_str_te_4	dielec_str_te_5	dielec_str_te_6	acid_measure_val	moisture_rslt	furan_diag_time	furan_5H2F	furan_2FOL	furan_2FAL	furan_2ACF	furan_5M2F	part_discharge_diag	oltc_96T_diag	oltc_rslt	oltc_type	thermal_img_temp	noise_diag	fire_vul_type	fire_spread_loc	emerge_response_1s	redundancy	ato	online_og_chk	offline_safety_chk	sec_num	alarm_num	insul_1st_lvup	high_insul_adt	double_insul	55k_install	sfra_test	rip_install	vacuum_set	점검자	비고
H2	EF1	BANK103	154000	35	43.75	2015-12-31	2020-06-01	0	0	15	288	56	35	85	2234	23647	43715	30	4.4	51	49.7	31.9	43.2	31.3	57.3	43.8	0.03	19.0	2020-06-01	0	0	16	0	0	이상	정상	13000	Oil	정상	이상	유입	옥외	가능	N+N	적용	적용	미적용	4	5	미적용	미적용	적용	적용	적용	미적용	적용	홍길동1	정기점검
K1	EF1	BANK104	22900	25	100	2023-01-06	2020-06-01	0	0	70	288	85	93	303	2960	24021	32423	1	42.1	51	31.8	45.6	39.1	45.8	35.6	47.4	0.03	20.2	2020-06-01	0	0	7	0	0	이상	정상	9000	Oil	정상	정상	유입	옥내	불가	N+N	적용	미적용	적용	4	5	적용	적용	적용	적용	미적용	적용	적용	홍길동2	정기점검
H2	EF1	TR99	22900	35	100	2021-11-05	2020-06-01	0	0	98	288	90	11	268	2726	11489	54321	30	94.9	47	51.0	33.8	31.4	41.9	30.6	40.6	0.02	32.4	2020-06-01	0	0	19	0	0	이상	이상	9000	Oil	이상	정상	몰드	옥내	불가	N+0	적용	적용	적용	4	5	미적용	적용	적용	미적용	적용	미적용	적용	홍길동3	정기점검
H1	EF1	BANK105	154000	80	43.75	2020-09-29	2020-06-01	0	0	77	288	91	63	360	881	19071	52352	60	90.3	44	57.2	35.0	31.5	41.9	59.0	43.8	0.03	32.4	2020-06-01	0	0	20	0	0	양호	이상	0	Oil	정상	이상	몰드	옥내	가능	N+1	적용	적용	적용	4	5	적용	적용	미적용	적용	적용	적용	적용	홍길동4	정기점검
K1	EF1	TR100	154000	35	43.75	2023-02-03	2020-06-01	0	0	48	288	43	30	171	1647	22912	94485	1	31.3	55	57.8	59.6	44.2	57.4	58.0	35.3	0.02	33.2	2020-06-01	0	0	7	0	0	양호	이상	9000	Oil	정상	이상	몰드	옥외	불가	N+N	적용	적용	적용	4	5	미적용	미적용	미적용	적용	적용	적용	미적용	홍길동5	정기점검
K1	EF1	TR101	22900	35	37.5	2015-10-24	2020-06-01	0	0	97	288	69	53	361	2975	25190	94239	30	6.0	54	47.5	35.5	53.1	30.5	34.2	41.1	0.02	18.9	2020-06-01	0	0	19	0	0	양호	정상	9000	Vaccum	정상	이상	유입	옥외	가능	N+0	미적용	적용	적용	4	5	적용	미적용	미적용	적용	적용	적용	적용	홍길동6	정기점검
K1	EF1	BANK106	22900	30	100	2019-11-28	2020-06-01	0	0	88	0	13	7	462	2197	10174	70634	60	58.8	45	42.8	50.9	33.1	37.4	56.8	57.6	0.02	19.7	2020-06-01	0	0	18	0	0	양호	정상	9000	Oil	이상	정상	유입	옥외	불가	N+N	적용	적용	적용	4	5	적용	미적용	적용	적용	적용	적용	미적용	홍길동7	정기점검
P1	EF1	BANK107	154000	25	100	2021-09-21	2020-06-01	0	0	36	0	91	69	225	1389	26829	30052	60	87.2	47	34.4	31.2	49.6	32.5	52.4	39.3	0.02	28.4	2020-06-01	0	0	16	0	0	양호	이상	18000	Oil	이상	정상	유입	옥내	불가	N+N	미적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	미적용	홍길동8	정기점검
P1	EF1	BANK108	22900	25	43.75	2022-11-02	2020-06-01	0	0	91	0	87	37	307	852	14085	63599	-1	48.7	47	30.2	30.7	40.5	56.8	36.8	39.9	0.02	29.8	2020-06-01	0	0	4	0	0	이상	정상	6000	Oil	이상	정상	유입	옥외	가능	N+0	적용	적용	적용	4	5	미적용	적용	적용	적용	적용	미적용	미적용	홍길동9	정기점검
P1	EF1	BANK109	22900	25	43.75	2022-03-28	2020-06-01	0	0	22	0	54	60	250	683	21653	50244	1	76.8	53	32.8	33.8	33.0	39.7	57.1	57.8	0.03	27.9	2020-06-01	0	0	12	0	0	양호	정상	18000	Oil	정상	이상	몰드	옥외	불가	N+1	적용	적용	미적용	4	5	적용	미적용	적용	미적용	미적용	적용	적용	홍길동10	정기점검
H2	EF1	TR102	22900	35	37.5	2018-07-08	2020-06-01	0	0	43	394	15	29	379	2552	26475	48476	-17	21.2	40	54.4	55.6	50.0	52.7	44.1	41.6	0.02	24.8	2020-06-01	0	0	14	0	0	이상	이상	6000	Vaccum	정상	정상	몰드	옥내	가능	N+N	적용	미적용	적용	4	5	미적용	적용	적용	적용	적용	미적용	적용	홍길동11	정기점검
K1	EF1	BANK110	22900	80	30	2016-12-20	2020-06-01	0	0	89	394	3	74	630	829	22006	65868	60	81.7	50	37.6	49.9	33.7	51.1	30.5	36.6	0.02	29.5	2020-06-01	0	0	8	0	0	양호	정상	13000	Vaccum	이상	이상	유입	옥내	가능	N+N	적용	적용	적용	4	5	미적용	적용	미적용	적용	미적용	적용	미적용	홍길동12	정기점검
H2	EF1	TR103	22900	80	43.75	2024-03-06	2020-06-01	0	0	14	288	91	71	297	988	18835	96672	-17	6.0	58	47.9	50.1	53.1	55.5	37.4	32.4	0.03	24.2	2020-06-01	0	0	12	0	0	이상	정상	18000	Oil	정상	이상	몰드	옥내	가능	N+N	적용	적용	미적용	4	5	미적용	적용	적용	적용	미적용	미적용	미적용	홍길동13	정기점검
H1	EF1	BANK111	22900	80	30	2022-11-19	2020-06-01	0	0	59	288	41	71	433	1111	14098	51222	60	92.4	52	58.8	31.3	31.6	43.2	48.7	30.4	0.03	27.6	2020-06-01	0	0	5	0	0	양호	정상	18000	Oil	정상	정상	몰드	옥외	불가	N+N	적용	적용	적용	4	5	적용	적용	적용	미적용	적용	적용	적용	홍길동14	정기점검
H1	EF1	BANK112	22900	80	100	2022-05-25	2020-06-01	0	0	3	0	77	27	261	1564	18069	91796	-17	6.7	54	54.2	52.8	46.5	35.7	38.6	52.3	0.03	21.6	2020-06-01	0	0	9	0	0	양호	정상	13000	Oil	정상	이상	유입	옥외	불가	N+0	적용	적용	적용	4	5	적용	미적용	적용	적용	적용	적용	미적용	홍길동15	정기점검
K1	EF1	BANK113	22900	35	100	2024-01-16	2020-06-01	0	0	16	394	9	93	419	955	10976	41286	30	35.4	49	46.9	54.5	52.2	45.7	41.2	46.6	0.02	27.6	2020-06-01	0	0	6	0	0	양호	이상	0	Vaccum	이상	이상	몰드	옥내	불가	N+0	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동16	정기점검
K1	EF1	TR104	154000	35	30	2018-08-30	2020-06-01	0	0	32	0	28	10	193	1724	19912	63127	-1	82.9	48	56.5	36.1	39.9	60.0	46.1	54.1	0.02	30.5	2020-06-01	0	0	16	0	0	양호	정상	9000	Vaccum	정상	이상	몰드	옥내	불가	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동17	정기점검
P1	EF1	TR105	154000	35	43.75	2020-05-14	2020-06-01	0	0	92	0	34	54	202	1625	10340	71495	30	52.6	56	36.2	40.0	30.5	44.2	51.7	48.8	0.02	31.2	2020-06-01	0	0	8	0	0	양호	이상	9000	Vaccum	정상	이상	몰드	옥외	가능	N+N	미적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동18	정기점검
K1	EF1	BANK114	22900	25	43.75	2017-05-29	2020-06-01	0	0	36	288	7	34	290	752	16577	95359	1	74.1	51	45.3	54.8	57.7	37.3	30.9	54.8	0.03	19.7	2020-06-01	0	0	17	0	0	양호	이상	6000	Vaccum	정상	이상	유입	옥내	불가	N+1	미적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동19	정기점검
K1	EF1	TR106	22900	80	43.75	2021-11-22	2020-06-01	0	0	85	394	51	3	613	1043	18302	42274	60	46.0	52	58.7	45.9	55.2	45.8	54.6	44.9	0.02	25.5	2020-06-01	0	0	6	0	0	양호	이상	9000	Oil	이상	정상	유입	옥외	불가	N+N	적용	적용	적용	4	5	적용	미적용	적용	적용	적용	적용	적용	홍길동20	정기점검
P1	EF1	TR107	154000	80	37.5	2022-12-19	2020-06-01	0	0	3	0	92	65	470	2898	17511	87487	60	50.7	46	41.3	42.4	34.0	51.2	41.9	54.6	0.03	28.0	2020-06-01	0	0	14	0	0	양호	정상	9000	Oil	이상	이상	몰드	옥외	불가	N+N	적용	미적용	적용	4	5	적용	적용	적용	적용	미적용	적용	적용	홍길동21	정기점검
K1	EF1	TR108	22900	25	43.75	2016-02-28	2020-06-01	0	0	4	394	98	97	442	2247	11217	62166	-17	27.4	44	51.9	35.3	32.0	32.5	40.8	45.5	0.02	23.2	2020-06-01	0	0	12	0	0	양호	이상	9000	Oil	이상	정상	몰드	옥내	불가	N+1	미적용	적용	적용	4	5	적용	적용	적용	미적용	적용	적용	적용	홍길동22	정기점검
P1	EF1	TR109	22900	80	43.75	2019-12-19	2020-06-01	0	0	83	394	3	11	113	1139	25439	49943	30	89.5	52	54.9	35.5	57.2	44.9	49.1	49.3	0.03	21.2	2020-06-01	0	0	2	0	0	양호	정상	9000	Vaccum	이상	정상	유입	옥외	불가	N+N	적용	적용	적용	4	5	적용	적용	미적용	적용	적용	적용	적용	홍길동23	정기점검
H2	EF1	TR110	154000	25	43.75	2024-12-15	2020-06-01	0	0	48	288	46	0	279	1007	13464	94643	30	70.3	49	35.9	33.2	56.0	34.8	33.4	40.2	0.02	28.0	2020-06-01	0	0	3	0	0	양호	정상	18000	Vaccum	이상	정상	몰드	옥외	불가	N+1	적용	적용	미적용	4	5	미적용	적용	적용	미적용	미적용	적용	적용	홍길동24	정기점검
P1	EF1	BANK115	154000	30	37.5	2016-09-15	2020-06-01	0	0	73	0	40	6	312	828	21950	34755	-1	40.7	50	36.3	58.8	41.4	52.5	42.9	39.3	0.03	21.9	2020-06-01	0	0	16	0	0	이상	정상	13000	Oil	정상	이상	유입	옥내	가능	N+1	적용	적용	적용	4	5	적용	적용	적용	미적용	적용	적용	적용	홍길동25	정기점검
